"Age","Temp_C"
0,6.44535
0.001,6.2842635
0.00104,6.302134
0.00122,6.21641944
0.00124,6.20928384
0.00127,6.10950304
0.00127,6.04547416
0.00134,6.13086616
0.00139,6.30928416
0.00144,6.27354456
0.00151,6.49558144
0.00158,6.74756184
0.00168,6.58182016
0.00175,6.44535
0.00182,6.53149464
0.00187,6.66822016
0.00192,6.48840216
0.00196,6.49558144
0.00196,6.589014
0.00197,6.68263584
0.002,6.49558144
0.00201,6.65380896
0.00216,6.63220056
0.00223,6.56024536
0.0023,6.38800984
0.0024,6.43817856
0.00247,6.337896
0.00247,6.36652576
0.00254,6.41667096
0.00264,6.45969624
0.00269,6.28783704
0.00271,6.41667096
0.00279,6.43100824
0.0029,6.11662296
0.00298,5.85393184
0.003,5.981536
0.00301,5.78319744
0.00301,5.93896096
0.00309,6.17362264
0.00311,6.44535
0.00316,6.31643544
0.00321,6.373686
0.00321,5.38915456
0.00327,5.37514656
0.00333,5.347144
0.00334,5.487336
0.00339,5.59981216
0.00339,6.35936664
0.00343,6.28069024
0.00345,6.23783296
0.00352,6.14511384
0.00358,6.18788376
0.00367,6.25211424
0.00379,6.38800984
0.00391,6.32358784
0.00393,6.40233816
0.00399,6.29498496
0.00409,6.45252256
0.00418,6.39517344
0.00418,6.46687104
0.00418,6.38800984
0.00427,6.38800984
0.00439,6.28783704
0.00448,6.195016
0.00448,6.17362264
0.00457,6.195016
0.00469,6.195016
0.00476,6.17362264
0.00484,6.38084736
0.00491,6.42383904
0.00493,6.24497304
0.00501,6.28069024
0.00503,6.27354456
0.00503,6.13086616
0.00517,5.88225696
0.00525,6.05969496
0.00535,6.03125784
0.00543,5.82562464
0.0055,5.86101144
0.0055,6.08815
0.00553,5.93186904
0.00561,5.97443736
0.00561,6.195016
0.00565,6.05969496
0.00571,6.10950304
0.00575,6.25925656
0.00578,5.95314816
0.00586,6.00283864
0.00588,6.18788376
0.00596,6.08815
0.00597,5.946054
0.00601,6.1771875
0.00601,5.954921875
0.00607,5.513671875
0.00614,5.51542816
0.00621,5.57166624
0.00636,5.69141016
0.00639,5.74081056
0.00647,5.84685336
0.00657,5.88934104
0.00657,5.97443736
0.00668,5.71257504
0.00668,5.71963224
0.00674,5.89642624
0.00676,6.05969496
0.00688,6.10950304
0.00688,6.50994336
0.00697,6.50994336
0.00701,6.45252256
0.00707,6.32358784
0.00727,6.08103456
0.00733,5.96024344
0.00741,5.96024344
0.00746,5.96024344
0.00747,5.99573664
0.00749,6.00283864
0.00752,6.18788376
0.0076,6.25211424
0.00768,6.32358784
0.00779,6.11662296
0.00784,6.302134
0.0079,6.05969496
0.00793,6.008165875
0.00796,5.875174
0.00801,6.114842875
0.00801,6.0703635
0.00802,5.689646875
0.00802,5.35414296
0.00811,5.31915936
0.00811,5.30517376
0.00819,5.24927616
0.00823,5.40316704
0.00826,5.81147776
0.00833,5.96024344
0.00838,5.36114304
0.00839,5.25625944
0.00841,5.43821784
0.00842,5.38215
0.00846,5.347144
0.00866,5.85393184
0.00873,5.79733536
0.0088,5.76199896
0.00889,5.74081056
0.00896,5.68435744
0.00897,5.71257504
0.00897,5.866321875
0.00897,5.689646875
0.00901,5.636780875
0.00904,5.663206
0.00908,5.042035875
0.00909,5.04029856
0.00909,5.102886
0.00913,5.09592736
0.0092,4.86
0.00925,5.68435744
0.00931,5.95314816
0.00938,5.875174
0.00942,5.88225696
0.00952,6.18788376
0.00957,5.84685336
0.00964,5.70551896
0.00968,5.83269976
0.00968,6.02415136
0.00973,5.89642624
0.00981,5.82562464
0.00984,6.03836544
0.00989,5.98863576
0.01001,5.839776
0.01001,5.84685336
0.01007,6.05969496
0.01007,5.33314944
0.01028,5.35414296
0.01056,5.39616024
0.0106,4.50853656
0.01092,4.071606
0.01094,4.301446875
0.01101,4.071606
0.01101,4.071606
0.01123,5.242294
0.01154,5.32615384
0.01155,5.5576
0.01188,5.57870104
0.01192,5.5048915
0.01192,5.2248435
0.01202,4.481094
0.01202,4.0885875
0.01202,3.699784
0.01212,3.94954584
0.01212,3.598966
0.0122,3.66615
0.01237,3.733446
0.01237,4.09198464
0.01286,3.51179424
0.01288,3.800854
