Species,Tm.mean
Zygophyllum_simplex,211.06976744186
Zygophyllum_rosowii,2.5
Zygophyllum_rigidum,199
Zygophyllum_prismatocarpum,164.238095238095
Zygophyllum_obliquum,0.4
Zygophyllum_morgsana,168.9375
Zygophyllum_longicapsulare,166
Zygophyllum_giessii,154.333333333333
Zygophyllum_flexuosum,166.137931034483
Zygophyllum_fabago,153.357142857143
Zygophyllum_decumbens,213.684210526316
Zygophyllum_cordifolium,167.941176470588
Zygophyllum_clavatum,169.142857142857
Zygia_racemosa,260.210526315789
Zygia_palmana,213.276595744681
Zygia_longifolia,251.706896551724
Zygia_lathetica,252.238095238095
Zygia_inaequalis,261.472727272727
Zuvanda_exacoides,103.666666666667
Zuelania_guidonia,248.145299145299
Zuccagnia_punctata,145.033333333333
Zornia_sericea,245.255813953488
Zornia_reticulata,223.28
Zornia_reptans,174
Zornia_myriadena,226.828571428571
Zornia_milneana,183.117647058824
Zornia_leptophylla,245.615384615385
Zornia_harmsiana,260.789473684211
Zornia_glochidiata,273.206896551724
Zornia_gibbosa,237.190476190476
Zornia_diphylla,207.611111111111
Zornia_cearensis,246.0625
Zornia_cantoniensis,215.5
Zornia_brasiliensis,242.5
Zornia_areolata,252.142857142857
Zollernia_paraensis,260.421052631579
Zollernia_modesta,239.454545454545
Zollernia_magnifica,237.2
Zollernia_latifolia,235.642857142857
Zollernia_ilicifolia,210.96
Zollernia_glaziovii,219.333333333333
Zollernia_glabra,230.655172413793
Ziziphus_spina-christi,215.606060606061
Ziziphus_rugosa,244.933333333333
Ziziphus_rivularis,222.75
Ziziphus_obtusifolia,189.651933701657
Ziziphus_mucronata,229.961904761905
Ziziphus_montana,128.846153846154
Ziziphus_mauritiana,268.441860465116
Ziziphus_mairei,209
Ziziphus_jujuba,175.807692307692
Ziziphus_incurva,182.642857142857
Ziziphus_guatemalensis,256.157894736842
Ziziphus_fungii,209.333333333333
Ziziphus_djamuensis,262.333333333333
Ziziphus_calophylla,260.083333333333
Ziziphus_attopensis,212.916666666667
Ziziphus_amole,248.827338129496
Zinowiewia_rubra,183.076923076923
Zinowiewia_matudae,187.428571428571
Zinowiewia_costaricensis,193.425
Zimmermanniopsis_uzungwaensis,194
Zimmermannia_ovata,193.25
Zimmermannia_capillipes,206.25
Zilla_spinosa,215.67032967033
Zilla_macroptera,157
Zieria_verrucosa,189.666666666667
Zieria_tuberculata,148.384615384615
Zieria_southwellii,167.30303030303
Zieria_smithii,172.556603773585
Zieria_robusta,116.119047619048
Zieria_prostrata,188.272727272727
Zieria_pilosa,164.229007633588
Zieria_parrisiae,139.333333333333
Zieria_odorifera,150.954545454545
Zieria_obcordata,135.8
Zieria_murphyi,133.571428571429
Zieria_montana,151.111111111111
Zieria_minutiflora,198.770114942529
Zieria_littoralis,145.5
Zieria_laxiflora,196.48
Zieria_laevigata,158.605769230769
Zieria_ingramii,162.857142857143
Zieria_granulata,165.327586206897
Zieria_furfuracea,177
Zieria_fraseri,167.464285714286
Zieria_formosa,137.25
Zieria_cytisoides,150.180952380952
Zieria_covenyi,122.75
Zieria_collina,179.736842105263
Zieria_citriodora,105.615384615385
Zieria_baeuerlenii,167.538461538462
Zieria_aspalathoides,167.376146788991
Zieria_arborescens,121.909090909091
Zieria_adenodonta,173.96
Zerdana_anchonioides,104
Zenkerella_citrina,215.666666666667
Zenia_insignis,194.461538461538
Zelkova_sicula,132.5
Zelkova_serrata,127.048387096774
Zelkova_schneideriana,168.806451612903
Zelkova_carpinifolia,137.416666666667
Zelkova_abelicea,115.666666666667
Zehneria_thwaitesii,244.230769230769
Zehneria_scabra,178.873015873016
Zehneria_hallii,267.853658536585
Zehneria_capillacea,260.130434782609
Zehneria_bodinieri,223.225806451613
Zapoteca_tetragona,230.169491525424
Zapoteca_mollis,245.666666666667
Zapoteca_formosa,239.25
Zanthoxylum_wutaiense,169
Zanthoxylum_simulans,165.37037037037
Zanthoxylum_setulosum,250.545454545455
Zanthoxylum_schinifolium,122.577586206897
Zanthoxylum_piperitum,119.150442477876
Zanthoxylum_panamense,250.883720930233
Zanthoxylum_nitidum,218.961538461538
Zanthoxylum_myriacanthum,201.735294117647
Zanthoxylum_monophyllum,237
Zanthoxylum_melanostictum,165.317757009346
Zanthoxylum_leprieurii,244.972222222222
Zanthoxylum_juniperinum,231.441860465116
Zanthoxylum_humile,221.266666666667
Zanthoxylum_fagara,221.931428571429
Zanthoxylum_ekmanii,244.652173913043
Zanthoxylum_caribaeum,235.236363636364
Zanthoxylum_capense,179.558823529412
Zanthoxylum_bungeanum,131.458333333333
Zanthoxylum_avicennae,227.538461538462
Zanthoxylum_armatum,156.826086956522
Zanthoxylum_americanum,89.3274336283186
Zanthoxylum_ailanthoides,144.877192982456
Zanthoxylum_acuminatum,222.072727272727
Zanonia_indica,255.941176470588
Zanha_golungensis,260.136363636364
Zanha_africana,217.527777777778
Yua_thomsonii,163.549019607843
Xylotheca_kraussiana,223.5
Xylosma_chlorantha,214.366666666667
Xylonagra_arborea,199.642857142857
Xylocarpus_moluccensis,264.233333333333
Xylocarpus_granatum,254.911764705882
Xylia_torreana,237.6875
Xylia_hoffmannii,257.829268292683
Xylia_africana,239.777777777778
Xiphotheca_tecta,148.44
Xiphotheca_reflexa,164.75
Xiphotheca_lanceolata,162.541666666667
Xiphotheca_guthriei,167.083333333333
Xiphotheca_fruticosa,148.047619047619
Xiphotheca_elliptica,151
Xiphotheca_canescens,162
Xerospiraea_hartwegiana,150.625
Xerospermum_noronhianum,252.7
Xerosicyos_tripartitus,215
Xerosicyos_perrieri,236.964285714286
Xerosicyos_decaryi,241.142857142857
Xerosicyos_danguyi,238.461538461538
Xerodraba_pycnophylloides,69.3333333333333
Xerodraba_pectinata,48.1
Xerodraba_patagonica,67.625
Xeroderris_stuhlmannii,261.493506493507
Xerocladia_viridiramis,185.238095238095
Xanthostemon_chrysanthus,238.84
Xanthostemon_aurantiacus,217.25
Xanthophyllum_papuanum,255.285714285714
Xanthophyllum_octandrum,226.987951807229
Xanthophyllum_hainanense,230.285714285714
Xanthomyrtus_papuana,140.928571428571
Xanthocercis_zambesiaca,225.616666666667
Xanthocercis_rabiensis,256
Wurdastom_cuatrecasasii,206
Woodfordia_fruticosa,224.8125
Wisteria_villosa,160.25
Wisteria_sinensis,140.517441860465
Wisteria_frutescens,160.905660377358
Wisteria_floribunda,118.571428571429
Wisteria_brachybotrys,137.852941176471
Wissadula_periplocifolia,252.801587301587
Wissadula_excelsior,240.522222222222
Wissadula_cruziana,231
Wissadula_boliviana,215.105263157895
Wislizenia_refracta,176.172413793103
