Brassicales,Limnanthaceae_Floerkea_proserpinacoides,Tropaeolaceae_Tropaeolum_tuberosum
Celastrales,Lepidobotryaceae_Lepidobotrys_staudtii,Celastraceae_Zinowiewia_costaricensis
Crossosomatales,Aphloiaceae_Aphloia_theiformis,Guamatelaceae_Guamatela_tuerckheimii
Cucurbitales,Coriariaceae_Coriaria_microphylla,Begoniaceae_Begonia_bogneri
Fabales,Polygalaceae_Xanthophyllum_octandrum,Fabaceae_Aspalathus_incurva
Fagales,Nothofagaceae_Nothofagus_cunninghamii,Fagaceae_Trigonobalanus_doichangensis
Geraniales,Geraniaceae_Hypseocharis_pimpinellifolia,Francoaceae_Melianthus_villosus
Huerteales,Tapisciaceae_Huertea_glandulosa,Gerrardinaceae_Gerrardina_foliosa
Malpighiales,Malpighiaceae_Pterandra_arborea,Irvingiaceae_Irvingia_malayana
Malvales,Thymelaeaceae_Synandrodaphne_paradoxa,Cytinaceae_Cytinus_ruber
Myrtales,Combretaceae_Strephonema_mannii,Melastomataceae_Pternandra_caerulescens
Oxalidales,Huaceae_Afrostyrax,Elaeocarpaceae_Platytheca_verticillata
Picramniales,Picramniaceae_Picramnia_antidesma,Picramniaceae_Picramnia_pentandra
Rosales,Rosaceae_Porteranthus_stipulatus,Elaeagnaceae_Elaeagnus_gonyanthes
Sapindales,Nitrariaceae_Nitraria_roborowskii,Anacardiaceae_Spondias_mombin
Vitales,Vitaceae_Tetrastigma_leucostaphylum,Vitaceae_Leea_angulata
Zygophyllales,Krameriaceae_Krameria_ixine,Zygophyllaceae_Guaiacum_officinale
